id,variavel,unidade,classificacoes_id,localidade_id,localidade_nivel_id,localidade_nivel_nome,localidade_nome,periodo,c56727-Índice de receita nominal das atividades turísticas,c56728-Índice de volume das atividades turísticas
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201606,65.71240,88.42740
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201607,67.32859,85.04392
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201608,63.24501,81.99640
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201609,63.49799,86.33630
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201610,62.44999,85.63745
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201611,63.28254,84.57684
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201612,62.73864,85.48537
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201701,61.43130,75.75321
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201702,69.66165,83.09367
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201703,65.21730,76.75385
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201704,62.37222,72.13323
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201705,61.47838,70.35977
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201706,60.91574,71.86255
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201707,61.77369,71.75900
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201708,59.54019,67.10906
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201709,59.11853,64.40003
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201710,56.26979,63.26878
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201711,60.82614,69.69475
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201712,59.79613,68.70437
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201801,63.97645,75.82533
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201802,60.12598,70.13258
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201803,63.65832,73.71304
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201804,67.94452,81.93179
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201805,66.06428,80.71295
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201806,64.35506,80.26861
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201807,64.31279,71.65885
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201808,67.88239,85.51844
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201809,66.26220,80.56758
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201810,66.94305,80.79686
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201811,66.01650,77.09963
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201812,65.89131,72.67262
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201901,67.86678,75.31932
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201902,69.16084,72.20056
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201903,65.05952,74.99704
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201904,65.92217,71.74888
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201905,75.00723,84.04357
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201906,71.98965,77.07871
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201907,70.08395,73.86188
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201908,71.35601,75.11165
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201909,75.84765,79.41300
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201910,70.88147,79.75370
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201911,88.23331,93.33413
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201912,84.86606,86.14717
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,202001,87.41782,92.05684
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,202002,74.56099,78.07047
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,202003,58.26046,62.34453
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,202004,29.59349,33.55381
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,202005,32.31763,35.63813
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,202006,35.55168,44.91449
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,202007,39.81043,55.16098
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,202008,44.36140,58.62326
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,202009,45.94558,58.47705
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,202010,50.88820,60.00161
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,202011,53.47019,59.99392
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,202012,53.38977,60.82623
